frame,x,y,w,h,eye_point1,eye_point2
0,773,188,358,453,"(828, 385)","(1008, 338)"
5,793,193,342,435,"(879, 366)","(1091, 386)"
10,795,198,342,432,"(879, 369)","(1093, 390)"
15,798,204,345,441,"(882, 380)","(1094, 399)"
20,801,225,339,446,"(885, 398)","(1096, 407)"
25,817,258,310,438,"(867, 469)","(1087, 470)"
30,810,234,304,367,"(856, 331)","(1045, 361)"
35,135,180,227,265,"(191, 235)","(331, 280)"
40,906,335,125,132,"(929, 380)","(1012, 379)"
45,1537,99,192,224,"(1578, 174)","(1689, 198)"
50,688,236,207,227,"(758, 290)","(856, 367)"
55,779,201,191,242,"(803, 296)","(924, 299)"
60,1530,151,182,221,"(1565, 227)","(1681, 243)"
65,1561,128,186,235,"(1594, 219)","(1712, 216)"
70,1530,173,193,223,"(1563, 279)","(1677, 242)"
75,871,225,213,235,"(909, 345)","(1016, 277)"
80,994,205,200,247,"(1027, 316)","(1141, 273)"
85,959,179,198,246,"(989, 294)","(1109, 260)"
90,860,246,199,240,"(896, 346)","(1018, 331)"
95,1718,368,92,115,"(1731, 420)","(1790, 418)"
100,756,394,107,115,"(793, 423)","(846, 462)"
105,703,326,125,146,"(731, 400)","(800, 368)"
110,715,261,156,199,"(751, 364)","(840, 319)"
115,676,77,303,397,"(756, 263)","(929, 209)"
120,852,198,290,414,"(942, 363)","(1116, 354)"
125,1702,19,275,385,"(1759, 157)","(1912, 154)"
130,1722,49,286,365,"(1784, 184)","(1925, 182)"
135,756,160,299,361,"(887, 265)","(1023, 339)"
140,753,299,192,219,"(776, 424)","(871, 364)"
145,820,219,200,242,"(849, 348)","(942, 291)"
150,781,194,224,265,"(815, 337)","(921, 275)"
155,780,255,240,276,"(813, 403)","(935, 339)"
160,801,245,249,292,"(840, 402)","(970, 341)"
165,828,277,229,291,"(866, 422)","(995, 375)"
170,919,291,200,243,"(958, 414)","(1074, 366)"
175,972,319,148,174,"(1002, 404)","(1085, 370)"
180,1329,426,108,104,"(1364, 464)","(1425, 452)"
185,1596,167,192,233,"(1620, 293)","(1723, 242)"
190,953,210,174,220,"(983, 300)","(1093, 294)"
195,930,203,176,221,"(962, 286)","(1075, 288)"
200,845,236,174,224,"(872, 326)","(983, 330)"
205,839,290,191,214,"(895, 340)","(992, 406)"
210,841,372,228,267,"(910, 440)","(1031, 517)"
215,796,203,248,328,"(840, 328)","(999, 334)"
220,783,275,246,315,"(818, 412)","(975, 385)"
225,801,264,246,315,"(830, 403)","(986, 380)"
230,1078,854,92,116,"(1107, 899)","(1147, 889)"
235,895,456,129,178,"(935, 527)","(1016, 545)"
240,880,430,137,200,"(916, 503)","(1005, 519)"
245,860,414,145,196,"(898, 486)","(990, 499)"
250,850,440,156,198,"(890, 514)","(985, 526)"
255,849,475,157,209,"(887, 559)","(984, 572)"
260,852,481,149,198,"(891, 553)","(986, 569)"
265,855,394,142,209,"(891, 468)","(985, 485)"
270,1097,815,102,131,"(1140, 863)","(1188, 853)"
275,810,282,202,261,"(862, 377)","(989, 399)"
280,738,376,197,255,"(778, 491)","(863, 470)"
285,866,386,210,271,"(940, 478)","(1049, 542)"
290,864,405,212,262,"(939, 478)","(1053, 531)"
295,831,404,216,268,"(902, 489)","(1027, 526)"
300,781,398,211,283,"(842, 505)","(973, 526)"
305,739,361,224,291,"(812, 466)","(943, 495)"
310,745,366,232,314,"(817, 468)","(957, 493)"
315,790,356,231,311,"(856, 471)","(999, 487)"
320,174,415,250,287,"(215, 546)","(377, 521)"
325,791,253,248,319,"(873, 356)","(1022, 386)"
330,66,517,258,347,"(104, 677)","(271, 639)"
335,58,542,239,347,"(94, 689)","(259, 680)"
340,730,364,252,338,"(769, 477)","(935, 503)"
345,304,341,248,322,"(338, 467)","(501, 454)"
350,833,402,241,299,"(879, 501)","(1031, 520)"
355,883,394,236,322,"(919, 510)","(1071, 507)"
360,1073,300,218,278,"(1100, 384)","(1246, 413)"
365,1042,362,130,144,"(1076, 406)","(1122, 418)"
370,958,410,188,232,"(1011, 478)","(1123, 522)"
375,425,502,217,241,"(467, 593)","(597, 615)"
380,927,349,185,237,"(979, 424)","(1091, 451)"
385,1281,329,193,245,"(1317, 424)","(1442, 433)"
390,1274,340,204,270,"(1314, 445)","(1444, 453)"
395,872,272,219,276,"(920, 359)","(1061, 381)"
400,1298,395,228,292,"(1339, 508)","(1486, 511)"
405,190,673,283,383,"(235, 832)","(424, 841)"
410,226,687,296,383,"(280, 853)","(470, 855)"
415,203,690,281,364,"(242, 854)","(431, 837)"
420,22,547,287,339,"(68, 678)","(255, 691)"
425,983,412,113,129,"(1007, 459)","(1082, 450)"
430,974,370,125,154,"(995, 427)","(1080, 424)"
435,917,353,135,181,"(946, 418)","(1034, 422)"
440,926,365,148,180,"(967, 422)","(1052, 452)"
445,947,378,169,181,"(991, 468)","(1067, 434)"
450,942,488,198,140,"(1002, 579)","(1042, 502)"
455,950,558,162,137,"(983, 614)","(1057, 578)"
460,965,474,216,158,"(1053, 504)","(1112, 539)"
465,992,234,294,206,"(1110, 264)","(1171, 344)"
470,1032,112,235,299,"(1072, 223)","(1206, 259)"
