frame,x,y,w,h,eye_point1,eye_point2
0,729,279,376,482,"(826, 468)","(1065, 484)"
5,801,227,315,405,"(827, 375)","(1021, 382)"
10,811,225,318,414,"(837, 381)","(1029, 389)"
15,799,136,407,560,"(852, 338)","(1108, 384)"
20,804,156,402,552,"(857, 352)","(1112, 396)"
25,756,227,357,481,"(813, 446)","(1049, 430)"
30,772,208,361,508,"(832, 403)","(1069, 416)"
35,757,269,359,500,"(809, 478)","(1050, 479)"
40,728,336,355,475,"(783, 526)","(1019, 516)"
45,692,101,373,457,"(777, 251)","(998, 229)"
50,774,189,263,299,"(881, 295)","(954, 309)"
55,800,253,208,280,"(839, 356)","(975, 354)"
60,825,365,143,196,"(850, 438)","(944, 439)"
65,835,436,102,136,"(852, 493)","(920, 496)"
70,842,485,76,107,"(855, 527)","(906, 530)"
75,850,507,59,84,"(857, 539)","(899, 536)"
80,852,510,61,67,"(864, 544)","(896, 524)"
85,866,493,46,64,"(870, 519)","(902, 516)"
90,863,495,43,57,"(870, 512)","(898, 519)"
95,865,500,42,56,"(869, 521)","(897, 519)"
100,1007,504,41,44,"(1019, 517)","(1043, 526)"
105,1006,508,40,46,"(1015, 522)","(1040, 521)"
110,1003,515,37,44,"(1009, 530)","(1035, 529)"
115,1006,512,36,41,"(1014, 531)","(1037, 526)"
120,1009,517,36,41,"(1016, 536)","(1042, 528)"
125,1013,519,35,36,"(1022, 536)","(1044, 528)"
130,753,126,344,456,"(810, 363)","(1017, 280)"
135,731,271,278,397,"(776, 453)","(956, 423)"
140,695,280,237,319,"(749, 411)","(902, 413)"
145,748,255,194,265,"(797, 361)","(923, 368)"
150,866,297,166,232,"(907, 381)","(1016, 389)"
155,991,307,119,181,"(1009, 372)","(1093, 366)"
160,1022,303,83,118,"(1034, 348)","(1092, 345)"
165,1032,332,70,99,"(1044, 367)","(1091, 367)"
170,1003,313,73,89,"(1018, 344)","(1065, 354)"
175,946,317,76,89,"(964, 346)","(1008, 361)"
180,894,349,78,91,"(911, 376)","(958, 395)"
185,840,280,86,111,"(853, 319)","(913, 324)"
190,754,255,119,132,"(774, 325)","(836, 290)"
195,752,212,153,161,"(786, 301)","(855, 248)"
200,792,186,215,236,"(836, 320)","(935, 248)"
205,718,229,347,393,"(787, 458)","(954, 335)"
210,715,207,370,482,"(784, 466)","(985, 351)"
215,891,534,31,45,"(899, 555)","(919, 550)"
220,887,523,30,42,"(893, 544)","(913, 539)"
225,874,508,32,47,"(881, 538)","(901, 528)"
230,858,500,34,46,"(870, 520)","(886, 518)"
235,841,479,38,54,"(852, 506)","(871, 502)"
240,824,469,36,49,"(837, 493)","(853, 488)"
245,797,453,41,57,"(813, 481)","(825, 475)"
250,765,455,44,59,"(777, 479)","(798, 472)"
255,808,494,51,63,"(817, 519)","(847, 514)"
260,1036,277,104,149,"(1060, 346)","(1119, 331)"
265,983,203,107,145,"(1008, 265)","(1075, 252)"
270,959,203,109,146,"(992, 269)","(1055, 255)"
275,938,220,120,165,"(978, 292)","(1044, 276)"
280,923,158,184,234,"(977, 267)","(1073, 234)"
285,911,64,224,305,"(974, 208)","(1092, 159)"
290,939,83,231,326,"(1019, 239)","(1134, 197)"
295,995,187,225,315,"(1075, 350)","(1171, 295)"
300,1002,271,233,307,"(1083, 439)","(1173, 373)"
305,907,297,233,299,"(979, 452)","(1074, 390)"
310,735,258,230,321,"(819, 394)","(932, 361)"
315,747,330,163,164,"(791, 411)","(867, 374)"
320,920,371,106,114,"(942, 429)","(997, 405)"
325,995,398,77,90,"(1004, 442)","(1051, 423)"
330,885,529,48,61,"(891, 553)","(920, 547)"
335,936,416,55,72,"(945, 440)","(982, 441)"
340,899,416,53,63,"(911, 435)","(945, 445)"
345,878,412,54,67,"(892, 429)","(924, 441)"
350,879,410,49,64,"(890, 432)","(922, 439)"
355,890,271,166,225,"(923, 365)","(1033, 364)"
360,920,247,168,232,"(951, 342)","(1060, 335)"
365,909,193,174,258,"(940, 290)","(1058, 292)"
370,807,218,185,260,"(834, 326)","(961, 335)"
375,701,214,205,267,"(739, 306)","(858, 327)"
380,935,299,138,233,"(929, 388)","(1008, 386)"
385,750,229,214,302,"(787, 339)","(927, 351)"
390,796,243,223,311,"(826, 373)","(968, 348)"
395,939,515,39,52,"(946, 540)","(969, 534)"
400,934,534,32,41,"(939, 558)","(961, 550)"
405,966,526,41,46,"(974, 550)","(999, 539)"
410,955,500,35,44,"(967, 509)","(989, 514)"
415,957,493,41,48,"(969, 507)","(994, 511)"
420,957,486,44,50,"(969, 500)","(997, 505)"
425,951,491,48,58,"(966, 510)","(994, 516)"
430,948,480,58,71,"(964, 507)","(998, 513)"
435,947,458,60,70,"(962, 481)","(999, 488)"
440,939,440,69,83,"(957, 464)","(999, 475)"
445,661,736,101,118,"(676, 801)","(723, 775)"
450,625,781,115,134,"(643, 854)","(695, 822)"
455,593,837,129,150,"(615, 924)","(670, 886)"
460,915,436,111,140,"(945, 481)","(1015, 498)"
465,912,429,128,152,"(948, 477)","(1026, 495)"
470,911,350,141,168,"(955, 393)","(1039, 416)"
475,900,334,157,191,"(946, 388)","(1043, 414)"
480,880,354,183,230,"(934, 432)","(1041, 454)"
485,871,375,199,257,"(925, 465)","(1051, 477)"
490,866,302,217,251,"(920, 376)","(1057, 385)"
495,837,319,261,328,"(889, 440)","(1060, 441)"
500,839,385,259,327,"(887, 508)","(1060, 500)"
505,816,270,257,313,"(858, 352)","(1037, 343)"
510,862,262,141,174,"(882, 316)","(982, 297)"
515,876,302,121,154,"(896, 361)","(977, 349)"
520,883,343,134,155,"(913, 390)","(994, 414)"
525,885,401,153,169,"(941, 442)","(1011, 498)"
530,886,408,158,201,"(941, 476)","(1021, 528)"
535,888,400,181,225,"(952, 471)","(1047, 521)"
540,891,369,195,257,"(953, 457)","(1067, 500)"
545,877,357,224,286,"(940, 449)","(1074, 490)"
550,862,339,251,330,"(932, 451)","(1080, 500)"
555,869,345,286,362,"(953, 458)","(1119, 513)"
560,894,352,296,380,"(972, 475)","(1160, 518)"
565,915,356,309,396,"(993, 495)","(1190, 533)"
570,917,291,321,403,"(1022, 415)","(1208, 478)"
575,956,453,33,39,"(968, 467)","(988, 470)"
580,973,453,31,38,"(982, 469)","(1001, 472)"
585,975,458,34,38,"(986, 474)","(1007, 476)"
590,968,462,36,41,"(978, 479)","(1000, 480)"
595,965,446,36,41,"(976, 458)","(999, 460)"
600,961,402,45,57,"(975, 413)","(1003, 424)"
605,953,384,60,75,"(969, 405)","(1005, 415)"
610,947,385,59,78,"(963, 408)","(1001, 417)"
615,953,382,67,84,"(971, 408)","(1014, 415)"
620,960,375,72,92,"(980, 405)","(1027, 410)"
625,952,409,83,102,"(974, 440)","(1029, 444)"
630,924,377,101,124,"(951, 420)","(1016, 423)"
635,882,395,125,158,"(915, 446)","(995, 450)"
640,843,393,157,203,"(889, 472)","(984, 479)"
645,832,394,195,240,"(888, 477)","(1006, 492)"
650,851,334,245,311,"(926, 441)","(1069, 479)"
655,800,279,292,350,"(900, 375)","(1063, 459)"
660,705,225,319,390,"(810, 325)","(993, 393)"
665,708,90,304,352,"(771, 200)","(967, 183)"
670,759,248,73,100,"(796, 289)","(823, 299)"
675,815,258,72,91,"(847, 295)","(876, 304)"
680,904,211,70,89,"(912, 242)","(958, 247)"
685,809,156,82,97,"(819, 188)","(869, 197)"
690,879,262,88,71,"(921, 269)","(944, 300)"
695,882,262,82,85,"(910, 278)","(949, 308)"
700,868,224,102,105,"(902, 244)","(947, 276)"
705,845,198,108,118,"(880, 221)","(932, 255)"
710,791,177,123,137,"(829, 218)","(893, 250)"
715,955,308,119,157,"(986, 360)","(1061, 372)"
720,954,317,127,164,"(1012, 373)","(1063, 395)"
725,963,335,148,198,"(991, 412)","(1090, 421)"
730,1015,361,170,234,"(1050, 450)","(1163, 457)"
735,1158,373,199,263,"(1196, 469)","(1328, 472)"
740,794,189,227,305,"(838, 298)","(988, 296)"
745,789,277,252,342,"(831, 413)","(997, 401)"
750,625,263,267,344,"(664, 369)","(848, 344)"
755,1058,504,34,40,"(1065, 516)","(1086, 516)"
